PRODUCT_CODE,ATC,duration_of_box
001063080,M02AC,1.5
001250012,A06AB57,7.5
001250024,A06AB57,7.5
001250036,A06AB57,1.5
001328020,A11HA30,.25
001340052,A11HA02,.16
001363074,N02BA01,3
001363187,N02BA51,
001537012,N01AF03,1
001578018,D04AX,2
001738020,A11CB,.14
001738032,A11CB,.14
001738057,A11CB,1
001740063,D04AA32,2
001802026,A01AD11,.15
002021018,R03DA05,.6
002021032,R03DA05,.6
002021044,R03DA05,.6
002039042,S01AA02,.4
002039055,D06AA02,1
002089151,A01AB11,1
002918047,A03AD01,.1
002918050,A03AD01,.1
002922058,G03BA03,18
002922060,G03BA03,18
002955060,R06AA02,.3
002955108,R06AA02,.3
002955134,R06AA02,.3
002991026,A11BA,3
003136025,R01AX10,
003214018,R02AB02,8
003235049,S01GA01,.2
003235076,S01GA01,.2
003311038,D04AA10,2
003311053,D04AA10,2
003337033,A07BA51,4
003351020,S01GA51,.4
003366073,A11GA01,.2
003366111,A11GA01,.2
003366150,A11GA01,.2
003366174,A11GA01,.2
003366186,A11GA01,.2
003366198,A11GA01,.2
003366200,A11GA01,.2
003410026,S01GA01,.2
003410065,S01GA01,.2
003452012,R06AA02,.3
003452024,R06AA02,.3
003452036,R06AA02,.3
003452048,R06AA02,.3
003488057,N04AA01,10
003559059,G03BA03,18
003604030,A07FA01,
003604042,A07FA01,
003671070,J07AM51,1
003710011,D08AX,2
003763176,G03GA01,250
003763190,G03GA01,250
003763214,G03GA01,250
003763238,G03GA01,250
003785019,B03BA01,20
003785033,B03BA01,20
003785058,B03BA01,1
002089175,A01AB11,1
002089187,A01AB11,1
002129017,N03AB02,.3
002192019,A11GA01,.2
002238044,J07AM01,1
002309033,B03BB01,10
002309045,B03BB01,.4
002347019,N01AF03,1
002347021,N01AF03,1
002427274,A06AB57,7.5
002516045,D04AA10,2
002516060,D04AA10,2
002646065,A03AD01,.1
002806091,N02BE51,4
002851018,N03AB52,2
002860017,N03AA02,.1
002860031,N03AA02,.1
002860043,N03AA02,.1
002866174,G01AA05,.5
002866186,G01AA05,.5
002868014,G03FA04,1
002906016,R06AA02,.3
002906030,R06AA02,.3
000053037,A11HA03,.2
000248031,S01EB01,.4
000248056,S01EB01,.4
000307037,S01FA01,.4
000307052,S01FA01,.4
000367058,A06AB06,1
000367072,A06AB06,1
000367108,A06AB06,24
000527034,A02AA04,3
000527061,A02AA04,3
000550044,H03AA05,.1
000550057,H03AA05,.1
000590012,R01AA08,.4
000590051,R01AA08,.4
000872010,R01AB05,1
000872034,R01AB05,1
000872059,R01AB05,1
000917017,P03AX,
001042023,N05CM09,.3
001063066,M02AC,1.5
001063078,M02AC,7
006570271,A02AA04,3
006769020,R01AA04,4
006774018,C01CA01,50
006774032,C01CA01,50
006774044,C01CA01,50
006809053,A11BA,3
006809065,A11BA,1
006903025,M02AB,1.5
006979025,A03BB01,60
006979037,A03BB01,60
006979049,A03BB01,60
007076019,S01AA01,.4
007112016,A11GA01,.2
007271024,M02AC,3
007293020,B03AB02,.11
007312010,S02DA30,.8
007518032,B05BA04,500
007518044,B05BA04,500
007537018,A11CC01,40
007539012,A11DA01,50
007539024,A11DA01,50
007645056,R05DA04,.1
007645070,R05DA04,
007645082,R05DA04,
007780075,A11GA01,.2
007893124,J01FA01,1
007893151,J01FA01,2
007893163,J01FA01,1
007893175,J01FA01,1
007893187,J01FA01,1
007893199,J01FA01,2
007899026,N05AA01,.3
007899038,N05AA01,.3
008096024,R05DA20,20
008194019,A11GA01,.2
008243014,S01FA05,.4
008290088,N05CM09,.3
008290090,N05CM09,.3
008366015,P01BA01,.5
008477061,A07AA51,5.5
008579017,C01BA01,1.2
008595062,J01AA07,1
008679021,N02BB02,3
008679033,N02BB02,3
003803095,N05CX,1.5
003803107,N05CX,3.5
003803119,N05CX,17.5
003820014,R03DA01,1
003820038,R03DA01,1
003946011,N02CA01,4
003950019,R01AB05,3
003960046,M02AC,2.5
004123030,R02AA02,1.5
004172021,N02BE51,2
004198040,C04AE01,3
004198065,C04AE01,3
004225025,G02AB01,.2
004225037,G02AB01,.2
004287025,A01AD11,.5
004308019,N07BB01,.2
004336044,N02BE51,2.5
004336107,N02BE51,2.5
004347011,R01AB02,1.5
004398018,S02DA30,.8
004446011,A09AA,
004446050,J05AX02,1.5
004446062,J05AX02,1.5
004532026,R05CA10,40
004533030,N05CX,1
004535011,N01BB02,1
004535199,N01BB02,1
004535201,D04AB01,2
004556015,N03AA02,.1
004556027,N03AA02,.1
004558185,N02BE51,2
004558197,N02BE51,2
004558209,N02BE51,2
004561015,H02AB10,37.5
004601050,N02BA51,
004642031,A11DA01,50
004642070,A11DA01,50
004667022,G01AX03,90
004696050,A11BA,1
004698027,V03AB14,1
004758049,A06AB06,24
004763037,N02BA01,3
004763114,N02BA51,
004763153,N02BA51,
004763254,N02BA01,3
004763330,N02BA51,
004763379,N02BA01,3
004763405,N02BA01,3
004763544,N02BA01,3
004844015,M02AB01,1
004844027,M02AB01,1
004853014,N05CM09,.3
004853026,N05CM09,.3
004880023,A11CA01,50
004894010,S01AB,.4
004897017,S01EB01,.4
004897029,S01EB01,.4
004901043,R02AA20,5
004901056,R02AA20,5
004901068,R02AA20,5
004905117,S01XA,.3
004905129,V03AX,
004905131,D03AX,1.5
004905143,D03AX,1
004905156,V03AX,
004930020,S01FA01,.4
004961049,S01EB01,.4
004975013,G04BX,150
004975025,G04BX,150
005020045,R05FB02,30
005064201,A11GA01,.2
005064237,A11GA01,.2
005101023,H03BX02,.33
005124019,A11CC05,40
005124021,A11CC05,40
005125012,N02BB74,3.5
005125024,N02BB74,2
005137017,D02AX,2
005167010,N02AG01,
005170028,R06AA02,.3
005181045,S03AA30,1.6
005239052,G03DA04,5
005259041,A12AA20,.5
005268038,A01AD11,3
005277013,N07AA01,2
005328036,A12AX,
005375062,G03DA03,10
005408012,S01GA01,.2
005408024,R01AA08,.4
005408036,R01AA08,.4
005417050,H03AA03,.25
005417062,H03AA03,.25
005472028,H03BB02,10
005494024,C01BA,.5
005540012,A06AD,7.12
005556016,D04AB01,2
005583024,R05X,10
005638010,G04BX,
005638022,N01BB02,2
005640038,A11HA03,.2
005647033,A11EA,1
005672011,H03AA05,.25
005713019,A11CC02,1
005781048,A02AH,3
005982020,A11JA,1
006035024,C01DA02,
006035051,C01DA02,
006035063,C01DA02,2.5
006090056,R05DA09,90
006105011,N07BC02,25
006137018,N05CM11,.452
006141016,N07AA01,2
006152021,R06AB04,12
006152058,R06AB04,12
006169015,S01AX10,.4
006228062,D04AB04,
006239026,R05X,8
006275010,B01AB01,10
006387132,A11BA,1
006408025,D02AX,2
006432013,N03AB52,2
006432037,N03AB52,2
006451049,S01AX,10
006451052,S01AX,10
006455036,J04AC01,.3
006455048,J04AC01,.3
006455051,J04AC01,.3
006483022,A02AD01,10
006570028,A02AA04,3
006570093,A02AA04,3
006570232,A02AA04,3
006570257,A02AA04,3
010386062,C05BA01,2
010386074,C05BA01,2
010410037,A07BA51,3
010495048,S01CA03,.2
010495051,D07CA01,2
010519078,R05FA02,40
010637039,G01AA,1
010681029,N07BB01,.2
010772022,R01AX10,
010800011,J04AK01,1.5
010834012,N05BB01,75
010834024,N05BB01,75
010834051,N05BB01,75
010852022,N05AA01,.3
010852034,N05AA01,.3
010852046,N05AA01,.3
010861019,A11CC01,40
011068032,A07BC30,75
011125034,A11DB,1
011226026,R03DA05,.6
011987017,M03BX03,8
011987029,M03BX03,2
012048031,A07EC01,2
012235026,R02AA02,1.5
012235038,R02AA02,1.5
012238061,B03AB,.125
012238073,B03AB,.125
012238085,B03AB,.125
012322020,J01FA02,3
012336020,S01AA01,.4
012336032,S01AA01,.4
012352023,A11DB,1
012363014,S01XA,.2
012373039,A11EA,1
012377026,R05CA10,12
012377053,R05CA10,12
012377089,R05CA10,12
012420016,R01AX10,
012437036,N02CA52,
012437048,N02CA52,
012475012,A02AG,4.5
012577019,A07AA51,5.5
012611101,N05AA03,.1
012611125,N05AA03,.3
012627081,B01AB01,10
012627093,B01AB01,10
012627105,B01AB01,10
012677047,A01AD11,1
012745016,N02BE01,3
012745028,N02BE01,3
012745042,N02BE01,3
012745055,N02BE01,3
012745067,N02BE01,3
012745079,N02BE01,3
012745093,N02BE01,3
012745117,N02BE01,3
012745129,N02BE01,3
012745143,N02BE01,3
012745182,N02BE01,3
012745218,N02BE01,3
012745220,N02BE01,3
012745244,N02BE01,3
012745269,N02BE01,3
012811016,R01AB05,1.5
012812018,A11JA,1
012943027,B02BX02,.1
012943039,B02BX02,.1
011226038,R03DA05,.6
011226091,R03DA04,.4
011226127,R03DA05,.6
011226139,R03DA05,.6
011297013,J01XB01,3
011351018,C05AD07,3
011355070,A16AX,
011378027,G01BA,1.5
011431018,A07AA51,5.5
011531035,N06CA,1.5
011544020,B05AA01,20
011578010,A11EA,1
011621036,S01FB01,.1
011771019,N05BC01,1.2
011782012,B01AA07,5
011782024,B01AA07,5
011825015,A06AG10,1
011825027,A06AG10,1
011899059,A06AB56,1
011967015,A06AD10,43
011967041,A06AD10,43
008679045,N02BB02,3
008701031,N02CA52,
008728038,N02BA51,
008730071,R03DA04,.4
008730083,R03DA04,.4
008730095,R03DA04,.4
008769022,N05CX,10
008776015,B02BA01,20
008776039,B02BA01,20
008776041,B02BA01,20
008776066,B02BA01,20
008783110,C01EB07,7.5
008783134,C01EB07,7.5
008783159,C01EB07,7.5
008883035,R05FB02,30
008891018,A01AD11,2
008997013,A06AB02,10
008997025,A06AB02,10
009104023,H03BB52,2
009115027,D03AX,2
009115039,D03AX,1
009115041,G02CX,1
009115066,G02CX,1.5
009115078,G02CX,10
009209038,A12BA30,4
009262015,A06AB02,10
009277017,S01EC01,.75
009286016,N07AA02,.18
009286042,N07AA02,.18
009324029,S01HA02,.2
009333093,M01CB02,14
009340011,N03AA03,1.25
